claim_id,claim_or_result,evidence_class,decision,acceptance_test,evidence_file,qualification_or_document_action
C01,"Higher SOC reduces year-1 shock-induced yield loss within every modeled region",A,retain,"Direction positive in all 8 regions at every one-at-a-time prior bound and in 100% of 1,000 joint-prior draws","outputs/parameter_extreme_acceptance_sol.csv; data/mc_ensemble/mc_probabilities.csv","Central mechanism claim; scenario result, not site forecast"
C02,"Production-weighted global S3 yield loss is 2.31%, 3.18%, and 3.29% at years 1, 10, and 30",A,retain,"Canonical rerun reproducible; cross-document tolerance <=0.05 pp","data/canonical_ERA5_y30.json; outputs/global_S3_losses.txt","Central scenario magnitudes"
C03,"Regional year-10 S3 loss spans 1.23% (East Asia) to 5.57% (FSU/Central Asia)",A,retain,"Canonical rerun reproducible; finite/domain tests pass","data/canonical_ERA5_y30.csv","Regional ordering is descriptive, not predictive"
C04,"SC1 and SC2 global year-10 losses are 3.74% and 1.91%; SC2 reaches 0.04% at year 30",B,retain,"Supply-cap market clears to residual <1e-10 and trajectories regenerate","data/scenario_trajectories.csv; data/SC1_regional_trajectory.csv; data/SC2_regional_trajectory.csv","Conditional physical-supply scenarios"
C05,"All zero-shock controls remain stationary over 30 years",A,retain,"Maximum drift <0.001 for stripped and full S3-channel zero-shock tests","outputs/zero_shock_invariance.csv; code/repro/test_full_zero_shock_sol.py","Implementation acceptance result"
C06,"Regional y_max values reproduce FAOSTAT year-2 targets by Brent calibration",A,retain,"All calibration residuals within declared numerical tolerance","outputs/Table_S4_calibration_sol.csv; code/repro/test_parameter_boundaries_sol.py","Only runtime calibration is authoritative; static regional ceiling fields are disabled"
C07,"Current no-synthetic-N yield is an emergent simulation output, distinct from the depleted-soil floor",A,retain,"Table S4 generated from the live monthly model","outputs/Table_S4_calibration_sol.csv","Do not describe as a calibration target"
C08,"The soil-N buffer ratio is 19.3%-54.0% and correlates with year-10 loss at Spearman rho=+0.19 (Pearson R2=0.06)",A,retain,"Regenerated from gross N supply using region-specific BNF; cross-document tolerance <=0.05 pp","outputs/table_S3_correlations.csv; data/canonical_ERA5_y30.csv","Descriptive eight-region diagnostic, not inference"
C09,"The partial net-revenue panel uses derived N-expenditure shares of SSA 3.7%, SA 15.3%, LATAM 4.7%, and NA 6.0%",B,retain,"Prices are primitive inputs; shares are derived once; dimensional and consistency tests pass","outputs/price_convention_sensitivity_sol.csv; code/repro/test_parameter_consistency_sol.py","Four-region partial budget only; not gross margin or profit"
C10,"South Asian net-revenue ordering changes under the farmer-paid fertilizer-price convention",B,retain,"Market/replacement and farmer-paid conventions both regenerated","outputs/price_convention_sensitivity_sol.csv","Disclose convention dependence; do not generalize regional finance rank"
C11,"Monthly N capture sensitivity changes global year-10 loss from 4.13% at 0.45 to 2.90% at 0.95; SSA 0.45 to 0.65 changes 5.55% to 5.13% (8%)",B,retain,"Sensitivity rerun with y_max fixed at its central 0.75 calibration","data/figS10_nue_sensitivity.json","Conditional sensitivity, not a validated intervention effect"
C12,"The year-10 within-region SOC gradient is monotone in the central model",A,retain,"All 8 regions pass at central eps_F,N=0 across WHC 2.32-8.40","outputs/parameter_extreme_acceptance_sol.csv","Central-result statement only"
C13,"The year-10 SOC gradient is robust to all tested soil-N demand elasticities",D,exclude,"Fails for SSA at eps_F,N=-0.50 and -1.00 across all three WHC values","outputs/parameter_extreme_acceptance_sol.csv","Manuscript and response explicitly disclose the failure; unsupported elasticity remains outside central model"
C14,"A 1,000-draw joint-prior ensemble preserves the year-1 SOC-buffering direction",B,retain,"Positive in 100% of region-draw evaluations, exceeding the 95% threshold","data/mc_ensemble/mc_probabilities.csv; code/repro/test_mc_robustness_sol.py","Priors are structured sensitivities, not posterior probabilities"
C15,"The Figure 3 mechanism screen places 17.37% of FAOSTAT cropland in the default focal class and 4.85% under cropland-weighted buffer thresholds",B,retain,"Complete deposited spatial pipeline; final audit and figure regenerate","spatial_screen/data_processed/buffer_threshold_sensitivity.csv; figures/Figure_3_mechanism_screen.png","Threshold-sensitive mechanism screen, not food-security vulnerability index"
C16,"Broadbalk supports the direction/order of treatment contrasts",C,retain,"Benchmark data and figure generator deposited; observed/model bias reported","figures/Figure_S2_broadbalk_benchmark.png; data/benchmarks/validation_data_extraction.csv","Contextual benchmark only; not regional or full-model validation"
C17,"The 2022 crisis supports the directional demand response outside subsidized South Asia",C,retain,"Official FAOSTAT changes and sensitivity figure regenerate; South Asia exception shown","data/benchmarks/hindcast_observed_2022.csv; figures/Figure_S4_hindcast_sensitivity.png","Baseline and doubled elasticities overpredict magnitudes; halved elasticities underpredict Europe/SSA; ranks quoted only excluding South Asia"
C18,"The OFRA overlay validates the SSA crop-response function",D,exclude,"Model x-axis is N availability/uptake while OFRA x-axis is applied N; no prospective validation threshold","data/ofra_maize_N_responsefunctions.csv; figures/Figure_S13_OFRA_SSA_validation.png","Retain only as an independent tropical benchmark; state median/IQR comparison without validation claim"
C19,"The OFRA ceiling median is 4.47 t/ha (IQR 3.07-6.73) and the modeled SSA ceiling 3.88 t/ha lies within that IQR",C,retain,"Dataset and overlay regenerate from Table S4","data/ofra_maize_N_responsefunctions.csv; figures/Figure_S13_OFRA_SSA_validation.png","Non-commensurate axes preclude validation"
C20,"The earlier microbially explicit four-pool comparison establishes magnitude robustness",D,exclude,"Code absent from the audited deposit; result not regenerable","excluded_legacy_sol/Figure_S5_flux_decomposition_legacy_sol.png","Figure and quantitative ratios removed from manuscript/SI evidentiary chain"
C21,"All-region financial vulnerability ranking",D,exclude,"Only four regions have audited N and crop price pairs","outputs/price_convention_sensitivity_sol.csv","No missing prices or invented cost shares"
C22,"The old 57% SSA benefit from raising capture 0.45 to 0.65",D,exclude,"Result arose from changing monthly parameters after model initialization and recalibrating crop potential inconsistently","data/figS10_nue_sensitivity.json","Replaced by fixed-y_max conditional sensitivity (5.55% to 5.13%; 8%)"
