parameter_id,group,scope,region_or_case,parameter,central_value,units,dependency,calibration_status,source,code_location,uncertainty_treatment,evidence_role
P0001,shared physical/economic,canonical,global,SOC_T_C_HA_PER_PERCENT_30CM,39.0,t C ha-1 per SOC percentage point,derived,derived,bulk density 1.3 g cm-3 x 0.30 m depth x 1% C,code/model/parameter_registry.py::SOC_T_C_HA_PER_PERCENT_30CM,single canonical conversion,central path
P0002,shared physical/economic,canonical,global,RESIDUE_C_FRACTION,0.45,fraction,primitive,externally specified,crop-residue carbon-content convention,code/model/parameter_registry.py::RESIDUE_C_FRACTION,fixed,central path
P0003,shared physical/economic,canonical,global,WATER_STRESS_GAIN_SAT_SOC_PCT,1.0,SOC percentage points,primitive,externally specified,structural saturation-scale assumption,code/model/parameter_registry.py::WATER_STRESS_GAIN_SAT_SOC_PCT,fixed,central path
P0004,shared physical/economic,canonical,global,WATER_STRESS_SOFTPLUS_EPS_MM,3.0,mm,primitive,externally specified,seasonal/spatial deficit smoothing assumption,code/model/parameter_registry.py::WATER_STRESS_SOFTPLUS_EPS_MM,fixed,central path
P0005,shared physical/economic,canonical,global,WATER_STRESS_MIN_FACTOR,0.3,fraction,primitive,externally specified,numerical/physiological water-stress floor,code/model/parameter_registry.py::WATER_STRESS_MIN_FACTOR,fixed,central path
P0006,shared physical/economic,canonical,global,WHC_MM_PER_SOC_PCT_30CM,3.48,mm per SOC percentage point,derived,derived,Minasny and McBratney 2018 scaled from 0-10 to 0-30 cm,code/model/parameter_registry.py::WHC_MM_PER_SOC_PCT_30CM,bounds 2.3-8.4,central path
P0007,shared physical/economic,canonical,global,SOIL_N_RESPONSE_ELASTICITY_CENTRAL,0.0,elasticity,primitive,externally specified,no clean empirical regional estimate; zero neutral central value,code/model/parameter_registry.py::SOIL_N_RESPONSE_ELASTICITY_CENTRAL,"(0.0, -0.25, -0.5, -1.0)",central path
P0008,BNF primitive,canonical,north_america,legume_frac,0.35,fraction,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[north_america].legume_frac,"fixed; BNF correlation is descriptive, not causal",central N supply
P0009,BNF primitive,canonical,north_america,net_n_credit,50.0,kg N ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[north_america].net_n_credit,"fixed; BNF correlation is descriptive, not causal",central N supply
P0010,BNF primitive,canonical,north_america,legume_yield_ceq,1.8,t cereal-equivalent ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[north_america].legume_yield_ceq,"fixed; BNF correlation is descriptive, not causal",central N supply
